input_company_name,input_main_country,input_main_region,input_main_city,company_name,main_country,main_region,main_city,long_description,main_industry,website_domain,website_url,country_match,region_match,city_match,name_keyword_match,name_count_keyword,description_keyword_match
24-seven media network (private) limited,pakistan,sindh,karachi,new millennium network,pakistan,sindh,karachi,"incorporated in 2001, mnet is the first company in pakistan to provide a secure electronic inter-bank connectivity platform for online financial transactions. as the pioneer of straight-through electronic financial transaction processing in pakistan, the company is heavily focused on industry best practices as well as technology based on international standards. over the years, mnet has broadened its focus to offer value added services (vas) like bill payments, mobile top-ups, and funds transfer. mnet also offers managed services portfolio to the financial services sector including services such as card personalization and management. following is the set of key products and services offered:* a ""one stop shop"" – product / service development, deployment, and support under one roof * a significantly large network of atms and pos (point of sale) devices * deep expertise in plastics (debit/credit) hosting as well as atm controller services * technology platforms backed by industry leaders like ibm, euronet, aci, and oracle * strong channel alliances with the largest number of utility companies for bill payment",telecommunication services,mnet.com.pk,https://www.mnet.com.pk/,True,True,True,True,1,True
2operate a/s,denmark,north denmark region,aalborg,2a pharma aps.,denmark,north denmark region,aalborg,"previous next 2a pharma is a clinical stage swedish/danish biopharmaceutical company. our vision is a world where revolutionary vaccine treatment within immune oncology and autoimmune diseases can deliver new cures for incurable diseases. treatments that saves and prolongs many more lives and significantly improves patients, carers and their families' quality of life. our mission is to develop novel, cost-effective prophylactic and therapeutic vaccines based on the aavlp platform, to bring hope and relief to patients and their families for conditions where there currently is none. we will leverage our platform's advanced technology, versatility and capability to develop further vaccines that can tackle unmet, poorly met, niche and widespread needs, ensuring both strong social impact and investor returns. our patented vaccine platform can deliver safer immunogenic vaccines without virus dna and 2a pharma has the worldwide exclusive rights to develop this technology. we are now entering clinical stage trials and every day we get a step closer to being able to improve the health of millions of people around the world.",pharmaceuticals,2apharma.com,https://2apharma.com/,True,True,True,True,8,True
2operate a/s,denmark,north denmark region,aalborg,rensams solutions,denmark,north denmark region,aalborg,"t rensams solutions ivs,we sell and purchase new and refurbished medical equipment and spare parts. we supply the highest quality medical supply products at competitive pricing, and are there for you when you need us. the cornerstone of our business has been our relationship with our customers. we understand that you have options when it comes to medical suppliers so we will do everything possible to keep your business. we promise to provide you with the best products for the best price, and will do everything to remain your supplier of choice.",medical equipment & supplies,rensams.dk,https://rensams.dk/,True,True,True,True,8,True
3 step it a/s,denmark,region of southern denmark,tønder municipality,3 step it a/s.,denmark,capital region of denmark,gladsaxe municipality,,banks & financial services,3stepit.dk,http://www.3stepit.dk/?opi=79508299&sa=u&ved=0ahukewiksvsf7tymaxwo78kdhfzkctqq61gifcgq&usg=aovvaw1o2vrp_km3o5n9xzsuuwll,True,False,False,True,10,False
3 step it sweden ab,sweden,östergötland county,linköping,proact it sweden,sweden,västra götaland county,gothenburg,"proact är europas ledande specialist inom data- och informationshantering med fokus på molntjänster och datacenterlösningar. vi hjälper våra kunder att lagra, koppla samman, skydda, säkra och skapa värde genom data, med fokus på förbättrad flexibilitet, produktivitet och effektivitet. på proact älskar vi teknik. men det som definierar oss är inte tekniken – utan människor. de riktigt stora vinsterna för våra kunder erhålls framförallt när vi samarbetar – och drar fördel av våra egna experters, våra partners och våra kunders samlade kunskap, kreativitet, teknik, arkitektur, innovation, processer och data. det är det vi menar med #thepowerofdata genom #thepoweroftogether. för mer information om proact, besök oss på www.proact.se",telecommunication services,proact.se,http://www.proact.se/,True,False,False,True,2,True
3 step it sweden ab,sweden,östergötland county,linköping,we dig it,sweden,örebro county,örebro,"the intention is to display ads that are relevant and engaging for the individual user and thereby more valuable for publishers and third party advertisers. learn more about this provider tt_appinfo used by the social networking service, tiktok, for tracking the use of embedded services. learn more about this provider #-# used to track user's interaction with embedded content. last_result_entry_key used to track user's interaction with embedded content. logsdatabasev2:v#||logsrequestsstore used to track user's interaction with embedded content. maximum storage duration : persistent type : html local storage __tea_session_id_# used by the social networking service, tiktok, for tracking the use of embedded services. hybrid_slardar_webtiktok_pns_web_runtime used by the social networking service, tiktok, for tracking the use of embedded services. kampanjen en annan mamma är ett ideellt projekt vars syfte är att stötta kvinnohuset i örebro. vi är din förlängda arm, någon som med snabba steg springer bredvid dig i ditt arbete och stöttar längs med vägen – i alla digitala utmaningar.",marketing & advertising agencies,wedigit.se,https://wedigit.se/,True,False,False,True,2,True
"3degrees group, inc.",united states,california,san francisco,3degrees inc.,united states,california,san francisco,"we maintain a log file of all actions that are initiated or facilitated using our website, to capture, record and store data concerning the transaction. information from advertising partners and publishers. google marketing platform advertising google operates an internet search engine, offering targeted search results from billions of web pages. facebook pixel advertising facebook operates a social network. linkedin marketing solutions advertising bizo is an ad targeting data company focused on the business-to-business market. they provide targeting technologies and services to online marketers and websites. google tag manager site function google operates an internet search engine, offering targeted search results from billions of web pages. we make it possible for businesses and their customers to take urgent action on climate change. ga audiences analytics google operates an internet search engine, offering targeted search results from billions of web pages. steve mcdougal and dan kalafatas founded 3degrees on the belief that business must serve in the interest of all stakeholders and play a central role in solving the global climate crisis.",engineering services,3degreesinc.com,http://3degreesinc.com/,True,True,True,True,2,True
3step it group oy,finland,uusimaa,helsinki,3step it group,finland,uusimaa,helsinki,"we provide simple, smart and sustainable technology lifecycle management for our customers, supporting them to improve productivity, reduce costs and reduce e-waste. better for business. better for the planet. bnp paribas 3 step it, the joint venture between bnp paribas leasing solutions and 3stepit, offers sustainable technology lifecycle management solutions to the mid-market, enterprise and public sector organisations across europe. the powerful alliance was forged in 2019 and combines bnp paribas leasing solutions unrivalled coverage and expertise in risk management with 3stepit's innovation and two decades of sustainable it asset management experience. together, we're on a mission to make our customers more sustainable – both environmentally and financially - by taking care of their technology and saving thousands of business it devices from reaching landfill each year. today, bnp paribas 3 step it operates in 11 countries, including france, italy, uk, germany, spain, belgium and the netherlands, with nordic coverage provided by 3stepit in finland, sweden, denmark and norway.",telecommunication services,3stepit.com,https://sg.3stepit.com/,True,True,True,True,5,True
a.t. kearney ab,sweden,,,a&t vvs,sweden,uppsala county,skutskär,"välkommen till a&t vvs ab. a&t vvs ab startade 2010 och drivs och ägs av thomas årman och andreas fröhler vi är totalt 4 personer som arbetar i företaget som installatörer. a&t vvs ab är auktoriserad enligt branch reglerna säkervatten. vi levererar vvs-tjänster med hög kompetens och med kreativa lösningar. med kunden i fokus, och med bred branscherfarenhet, vill vi skapa långvariga och goda relationer med våra kunder. vårt mål är att kunden alltid ska få en god service utifrån en stor erfarenhet och vi försöker alltid hitta den bästa lösningen för kunden utifrån deras behov och branschens regler. våra kunder är både privata personer, samt företag primärt i uppland och gästrikland. a&t vvs ab har sedan begynnelsen levererat vvs-tjänster med hög kompetens och med kreativa lösningar. a&t vva ab är bland annat auktoriserad återförsäljare av nibes bergvärmepumpar och luftvärmepumpar (luft / vatten). samt auktoriserad installatör av värmebaraonens solfångare och pelletsbrännare. vi är också återförsäljare och installatör av hargassner flis,pellets och ved pannor en av världens bästa leverantörer av biobränsle anläggningar österikiska kvalitets pannor.",finishing contractors,atvvs.nu,http://www.atvvs.nu/,True,False,False,True,4,True
a.t. kearney ab,sweden,,,at rörservice,sweden,stockholm county,stockholm,"vi erbjuder pålitliga och professionella vvs-tjänster med fokus på kvalitet, hållbarhet och kundnöjdhet i varje projekt. välkommen till at rörservice ab, ett certifierat vvs-företag med över 16 års erfarenhet i branschen. vi erbjuder våra kunder en kombination av djup kunskap, precision och effektivitet i alla våra projekt. med stor stolthet utför vi allt från mindre reparationer till stora installationer och ombyggnationer. vi arbetar över hela stor-stockholm och ser till att varje uppdrag genomförs enligt branschens regler och med högsta säkerhet i fokus. vi strävar alltid efter att leverera service med hög kvalitet, punktlighet och konkurrenskraftiga priser, så att du som kund känner dig trygg genom hela processen. välj at rörservice ab för vår långa erfarenhet, vårt fokus på kvalitet och säkerhet, samt vårt engagemang i att leverera till konkurrenskraftiga priser. vi erbjuder personlig service och skräddarsydda lösningar som gör att du som kund alltid står i centrum. tack vare våra höga standarder och nöjda kunder bygger vi långvariga relationer och får ständigt nya uppdrag via rekommendationer.",finishing contractors,vvshagersten.se,https://www.vvshagersten.se/,True,False,False,True,4,True
